iidcodigop,iidentidad,iidalcaldia,iestatus
15380,9,15,1
15390,9,15,1
15400,9,15,1
15410,9,15,1
15420,9,15,1
15430,9,15,1
15440,9,15,1
15450,9,15,1
15460,9,15,1
15470,9,15,1
15500,9,15,1
15510,9,15,1
15520,9,15,1
15530,9,15,1
15540,9,15,1
15600,9,15,1
15610,9,15,1
15620,9,15,1
15630,9,15,1
15640,9,15,1
15650,9,15,1
15660,9,15,1
15670,9,15,1
15680,9,15,1
15700,9,15,1
15710,9,15,1
15720,9,15,1
15730,9,15,1
15740,9,15,1
15750,9,15,1
15800,9,15,1
15810,9,15,1
15820,9,15,1
15830,9,15,1
15840,9,15,1
15850,9,15,1
15860,9,15,1
15870,9,15,1
15900,9,15,1
15940,9,15,1
15950,9,15,1
15960,9,15,1
15968,9,15,1
15970,9,15,1
15980,9,15,1
15990,9,15,1
16000,9,16,1
16010,9,16,1
16020,9,16,1
16029,9,16,1
16030,9,16,1
16034,9,16,1
16035,9,16,1
16036,9,16,1
16038,9,16,1
16039,9,16,1
16040,9,16,1
16050,9,16,1
16057,9,16,1
16058,9,16,1
16059,9,16,1
16060,9,16,1
16070,9,16,1
16080,9,16,1
16090,9,16,1
16098,9,16,1
16099,9,16,1
16100,9,16,1
16105,9,16,1
16200,9,16,1
16210,9,16,1
16220,9,16,1
16240,9,16,1
16244,9,16,1
16247,9,16,1
16248,9,16,1
16300,9,16,1
16310,9,16,1
16320,9,16,1
16330,9,16,1
16340,9,16,1
16400,9,16,1
16410,9,16,1
16420,9,16,1
16428,9,16,1
16429,9,16,1
16430,9,16,1
16440,9,16,1
16443,9,16,1
16450,9,16,1
16457,9,16,1
16459,9,16,1
16500,9,16,1
16510,9,16,1
16513,9,16,1
16514,9,16,1
16515,9,16,1
16520,9,16,1
16530,9,16,1
16533,9,16,1
16550,9,16,1
16600,9,16,1
16604,9,16,1
16605,9,16,1
16606,9,16,1
16607,9,16,1
16609,9,16,1
16610,9,16,1
16614,9,16,1
16615,9,16,1
16616,9,16,1
16617,9,16,1
16620,9,16,1
16629,9,16,1
16630,9,16,1
16640,9,16,1
16710,9,16,1
16720,9,16,1
16739,9,16,1
16740,9,16,1
16749,9,16,1
16750,9,16,1
16770,9,16,1
16776,9,16,1
16780,9,16,1
16797,9,16,1
16799,9,16,1
16800,9,16,1
16808,9,16,1
16810,9,16,1
16813,9,16,1
16819,9,16,1
16840,9,16,1
16850,9,16,1
16860,9,16,1
16866,9,16,1
16869,9,16,1
16870,9,16,1
16880,9,16,1
16888,9,16,1
16889,9,16,1
16900,9,16,1
16908,9,16,1
16909,9,16,1
16910,9,16,1
